Feature ID,GeneID
A_01_P000395,ITPA
A_01_P000397,XRN2
A_01_P000398,MINDY3
A_01_P000399,0
A_01_P000400,NEU3
A_01_P000402,0
A_01_P000405,SLC41A1
A_01_P000409,0
A_01_P000411,0
A_01_P000413,SOX3
A_01_P000414,NFE2L3
A_01_P000415,0
A_01_P000416,SIRT7
A_01_P000417,RBM46
A_01_P000418,RBP4
A_01_P000420,ARHGAP29
A_01_P000421,CEPT1
A_01_P000423,0
A_01_P000426,LOC697888
A_01_P000427,C7H14orf178
A_01_P000428,SHOC2
A_01_P000429,ANK2
A_01_P000430,HSD17B10
A_01_P000434,B3GALT5
A_01_P000435,0
A_01_P000436,TDP2
A_01_P000437,PPIB
A_01_P000438,NOD2
A_01_P000440,GAK
A_01_P000444,EGLN2
A_01_P000445,0
A_01_P000447,ECD
A_01_P000448,A2M
A_01_P000452,0
A_01_P000455,0
A_01_P000457,TMSB10
A_01_P000458,RAI14
A_01_P000459,0
A_01_P000460,NRCAM
A_01_P000462,0
A_01_P000465,0
A_01_P000466,APOB
A_01_P000467,0
A_01_P000469,FBP1
A_01_P000470,LRRN4
A_01_P000471,LRRC32
A_01_P000474,NUAK1
A_01_P000475,KHDC4
A_01_P000477,TNFAIP8L2
A_01_P000481,0
A_01_P000482,TAF12
A_01_P000485,0
A_01_P000486,0
A_01_P000487,ZNF526
A_01_P000489,0
A_01_P000490,0
A_01_P000491,LOC703594
A_01_P000492,GABRD
A_01_P000494,0
A_01_P000495,EDAR
A_01_P000496,ATAD2
A_01_P000497,SRFBP1
A_01_P000498,NTNG1
A_01_P000502,RGS12
A_01_P000503,0
A_01_P000505,0
A_01_P000508,IQUB
A_01_P000511,C14H11orf53
A_01_P000512,0
A_01_P000516,SNX4
A_01_P000517,NOVA2
A_01_P000521,0
A_01_P000522,MAP2K1
A_01_P000524,LOC100425791
A_01_P000525,RAC3
A_01_P000526,FASLG
A_01_P000527,0
A_01_P000528,ABCA7
A_01_P000530,F13A1
A_01_P000532,PECAM1
A_01_P000533,0
A_01_P000535,EEF1AKMT1
A_01_P000536,STPG3
A_01_P000537,HIST3H3
A_01_P000538,DUS2
A_01_P000539,TCF7
A_01_P000541,MRPL16
A_01_P000542,VIRMA
A_01_P000543,RNF6
A_01_P000545,CXCL17
A_01_P000548,COPZ1
A_01_P000550,IGBP1
A_01_P000551,WHRN
